WKT,id,name,alt_name,latitude,longitude
"POINT (111.4594392 -0.2640755)",61.0,KALIMANTAN BARAT,KALIMANTAN BARAT,-0.2640755,111.4594392
"POINT (113.3562505 -1.7302032)",62.0,KALIMANTAN TENGAH,KALIMANTAN TENGAH,-1.7302032,113.3562505
"POINT (115.37565 -2.94348)",63.0,KALIMANTAN SELATAN,KALIMANTAN SELATAN,-2.94348,115.37565
"POINT (116.4397546 0.5357766)",64.0,KALIMANTAN TIMUR,KALIMANTAN TIMUR,0.5357766,116.4397546
"POINT (116.0430852 2.9343759)",65.0,KALIMANTAN UTARA,KALIMANTAN UTARA,2.9343759,116.0430852
